LOCATION,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020
AUT,50524.506564447,50814.3254362109,51677.7103028473,52578.2720365933,52334.2945796686,51755.1160926445,52070.6677358327,52128.1355266082,52309.6551884715,52686.0439604668,53169.9778598907,53136.3529599885,53325.4860218118,53690.0313784628,53131.8472601512
BEL,53327.4499316515,53224.860382965,53452.9296076202,54193.8290817752,53969.0247192277,54520.1406100755,54950.8724902214,55503.3675184005,55808.7979316441,55427.2863649154,55525.9899435912,55130.1819736769,55387.6952980387,56021.805353764,54326.5981747548
CZE,22861.8470075485,23545.2859012626,23672.7315081023,23578.2215729613,24309.3725221021,24508.1196216401,24557.7123489149,24404.4136289563,24920.5383274656,25660.2261687109,26574.9058253501,27930.6903631665,29420.908126491,30354.8487119961,29884.5888161355
DEU,46546.4614941587,46415.4101855891,46632.7284690971,46645.9630877211,47054.1004687921,48025.5752898189,48682.5488749339,49158.7072422073,50001.0288195043,51171.5310086437,51901.8195564621,52454.1460775367,53220.549493405,54041.3564696298,53744.9986010753
DNK,51745.2357634446,52309.1761870157,53017.211201936,54302.6336273298,54928.3171318432,54643.7976544649,54570.0756807942,54924.954335293,55975.8913486461,56959.8436897856,57043.3903425065,57355.1151555023,57794.204719732,57967.3139494302,58429.6521388968
ESP,37646.3859191017,38053.4313380871,39398.4459845668,41882.8217124587,41485.9217785613,40743.4977284177,39605.7231631446,39607.5491422686,39484.1401956281,40072.2009864528,39844.8654865722,39325.9436907519,39032.6393520738,39054.6761544944,37922.2024818766
EST,19269.6519341551,22405.1384365077,22692.8543790954,22216.1392807988,21990.5401912126,21483.0297721717,21807.7087871146,22326.7107882809,23528.107980173,24633.060399567,24932.2835687872,26417.3581993049,27919.8352648357,29948.4043811778,30720.2630723187
FIN,43246.501132967,43831.342288816,44204.2691129914,44586.3665579335,45211.0434454361,45233.4544959247,45280.204117747,44836.441529201,44837.4445180097,45194.1776085612,45588.3582599615,45338.7564886381,45770.8422682442,46248.5762458008,46229.570198901
FRA,42027.7128210275,42184.5668291047,42102.2967323037,43441.63850086,44324.9511611263,44255.6792311367,44552.4695964852,44926.6938878833,45236.7715370061,45679.6770089977,46214.2570421327,46852.3529811014,46866.5200153424,47112.3891580859,45580.7045304337
GRC,32945.9042059286,32951.8768047206,32440.7162066568,33973.9316641425,32421.798286579,30363.4283852056,28597.4445918803,26728.894495666,26622.2384560015,26885.9516720609,26267.5963676882,26418.3391833541,26680.2868759527,27010.0396057715,27207.3239886219
HUN,22524.4993744111,22359.8349259684,22673.6840751635,21380.8203533787,21662.6952143837,21941.2070303564,21209.5651859382,20987.2063523599,20712.044616937,20871.6903108638,21061.8024863744,22586.13445313,23720.56899299,24470.7998075188,25408.61292954
IRL,42978.751166833,44179.198161641,46006.7541244281,49607.3961393321,49665.2436776463,49137.6406305789,48665.031322557,47437.3221038251,47141.7989549465,47133.7827292424,47811.6851203225,48375.9194517704,48586.2310145431,49509.0271779156,49473.5528423192
ITA,40601.7151894201,40585.2957626633,40537.8311391993,40845.5315456669,41193.9435646766,40534.4044387933,39254.8579837149,39377.5808340605,39530.6734636606,39878.4517833871,40192.9359760561,39933.7782410307,39984.835445086,40145.0764312802,37769.0960760782
LTU,20913.9705666423,22279.3052379733,22599.6466934655,19692.5264643864,19741.5301631059,20176.8387629195,20517.4685193106,21321.4614306002,22267.7306779893,23714.9011300426,24981.5571757992,26382.371107254,27572.3834502782,29695.4026117346,31810.9800849974
LUX,60312.1130879641,61899.599170367,61626.4121219145,63344.6645188323,63916.5579495403,62955.1802968511,62450.6523609851,63058.362909457,65379.0812699051,66247.4582756739,66392.7655867676,67392.8625925938,67447.7599313664,66839.504420292,65854.0113373947
LVA,17548.7899981849,21649.1386886051,22341.1366451901,20159.1131642526,19384.645386867,18697.68003208,19472.2205560886,20444.0754138898,21899.3039520145,23741.7527119903,25153.5621291168,26127.7969021104,27106.5668664325,28644.528894967,29876.4197225361
NLD,54457.1218788386,55235.2514398843,55569.5026926211,57943.8811751976,57959.4520914233,57601.3887209118,57834.8362382269,58035.1675814156,57728.6864839393,58402.5413039778,58603.7305266581,58171.0255356831,57581.3765270484,57474.5458086939,58827.5035366225
POL,22139.2430554731,22849.7029460017,24069.8666402046,24006.8531436516,24687.9147398017,24657.947290003,24406.4036465033,24671.2251179612,25197.7378991008,25854.4755586001,27144.6525145949,28294.2608185384,30212.1776262265,31958.8646972613,32527.0516416767
PRT,27536.4308439154,27719.6847578631,27630.7290963327,28912.9663135127,28791.8067311264,28095.9684388303,26889.5257691353,27405.6799140251,26934.7435585112,26854.7824639493,26699.0750431604,26819.6956570045,27263.3186320833,27977.8727594158,28410.0381459127
SVK,17160.7012382722,18212.6352297401,18398.4523388091,19028.1902557617,19857.6626283858,19688.5859056811,19436.8973748489,19589.6626505586,19980.1835432243,20770.9306869627,21429.7972808673,22071.9063755831,22692.3963800056,23437.8341806932,23618.9987388768
SVN,34323.215087887,35081.1216460331,35608.5179281152,35926.5793703328,36976.1109988297,36856.7846021919,35730.420177285,35193.4141089646,35879.2655017795,36635.9479194711,38048.9341606502,38705.8105759538,39376.8734926802,40532.8461694317,41445.1742823172
SWE,38701.2384294153,40054.091743044,40860.7815199667,41016.9656550011,41533.8891289532,42160.8183463129,43079.8807886723,43552.2269056241,44066.0424889516,44719.090412452,45423.0343565982,45680.5134360005,45916.5839424171,46417.9753348127,47020.4898878129
