Year,AUT,BEL,CZE,DEU,DNK,ESP,EST,FIN,FRA,GRC,HUN,IRL,ITA,LTU,LUX,LVA,NLD,POL,PRT,SVK,SVN,SWE
Y2006,68.575,61.0,65.275,67.15,77.375,65.025,68.425,69.35,64.15,60.55,57.35,68.675,58.325,63.625,63.6,65.9,71.575,54.45,67.625,59.425,66.55,73.125
Y2007,69.875,62.025,66.075,68.975,77.0,65.8,69.725,70.3,64.725,60.875,57.025,71.725,58.575,65.0,64.15,68.125,73.45,57.025,67.6,60.7,67.75,74.175
Y2008,70.825,62.4,66.55,70.1,76.325,64.475,70.075,71.05,65.3,61.425,56.4,69.65,58.65,64.4,63.425,68.225,74.925,59.225,68.025,62.25,68.575,74.325
Y2009,70.325,61.6,65.375,69.375,73.525,59.95,64.2,67.9,64.425,60.675,57.2,63.625,56.9,59.875,65.2,60.05,76.175,57.175,62.975,61.85,67.075,71.65
Y2010,70.775,62.025,64.975,70.3,71.8,58.85,61.95,67.15,64.375,58.85,57.05,60.95,56.25,57.55,65.2,58.2,75.45,56.975,62.25,60.425,65.525,71.6
Y2011,71.1,61.925,65.725,71.775,71.625,58.025,65.7,68.0,64.3,54.85,57.55,60.025,56.35,60.2,64.625,60.575,75.7,57.45,61.85,61.0,63.825,73.1
Y2012,71.425,61.825,66.55,72.05,71.025,55.75,67.975,68.45,64.375,50.425,58.625,59.9,56.075,62.025,65.85,62.775,75.9,58.0,59.325,61.375,63.575,73.275
Y2013,71.4,61.8,67.725,72.525,70.775,54.825,69.175,68.075,64.375,48.475,60.125,61.75,54.95,63.725,65.725,64.85,75.1,58.425,58.825,61.575,62.775,73.95
Y2014,71.075,61.9,68.975,72.8,71.1,56.0,70.225,67.95,64.525,49.225,63.65,63.125,55.275,65.65,66.625,66.125,74.65,60.2,61.2,62.7,63.4,74.425
Y2015,71.1,61.8,70.225,73.0,71.975,57.8,72.075,67.55,64.7,50.7,65.85,64.7,56.025,67.25,66.15,68.05,75.65,61.6,62.8,64.525,64.65,75.025
Y2016,71.55,62.3,71.95,73.675,72.675,59.55,72.4,68.225,65.0,51.775,68.525,66.425,57.05,69.375,65.575,68.575,76.375,63.45,64.225,66.7,65.325,75.725
Y2017,72.2,63.125,73.625,74.25,73.225,61.1,74.5,69.075,65.55,53.225,70.175,67.575,57.875,70.375,66.275,69.975,77.375,65.25,66.95,68.075,68.725,76.325
Y2018,73.025,64.45,74.825,74.9,74.125,62.4,75.05,71.15,66.15,54.525,71.4,68.475,58.5,72.4,67.1,71.725,78.7,66.675,69.025,69.55,70.55,76.85
Y2019,73.525,65.3,75.125,75.65,75.0,63.3,75.55,72.0,66.375,56.125,72.225,69.45,59.05,72.975,67.95,72.225,79.7,67.525,69.85,70.425,71.275,76.575
Y2020,71.725,64.45,74.4,76.15579,74.425,60.95,73.975,71.175,66.1,53.675,71.95,66.55,57.45,71.625,67.25,71.475,79.3,67.8,68.525,69.475,70.05,74.875
